id, name, party, sector, country
ul, Ursula von der Leyen, CDU, Politik, Deutschland
lk, Lars Klingbeil, SPD, Politik, Deutschland
nr, Norbert Röttgen, CDU, Politik, Deutschland
sw, Sahra Wagenknecht, Die Linke, Politik, Deutschland
cs, Constanze Stelzenmüller,,Gesellschaft, USA
cl, Christian Lindner, FDP, Politik, Deutschland
ks, Karl Schlögel,, Geschichte und Außenpolitik, Deutschland
lm, Ljudmyla Melnyk,, Politikwissenschaften, Ukraine
kd, Kristina Dunz,, Journalismus, Deutschland
el, Egils Levits,, Politik, Lettland
ab, Annalena Baerbock, Grüne, Politik, Deutschland
ft, Frans Timmermans,, Politk, Deutschland
am, Andrij Melnyk,, Politik, Ukraine
agl, Alexander Graf Lambsdorff, FDP, Politik, Deutschland
er, Egon Ramms,, Militär, Deutschland
rh, Robert Habeck, Grüne, Politik, Deutschland
cm, Claudia Major, , Politikwissenschaften, Deutschland
kp, Katja Petrowskaja,, Journalismus, Ukraine
rk, Roderich Kiesewetter, CDU, PolitikMilitär, Deutschland

500, Episode 500,,,
501, Episode 501,,,
502, Episode 502,,,
503, Episode 503,,,

DL, Die Linke,,,
SPD, Sozialdemokratische Partei,,,
Grüne, Die Grünen,,,
FDP, Freie demokratische Partei,,,
CDU, Christlich demokratische Partei,,,
